Id,Number,Name,Category,Zone,For
6,165,Alpaca Sol,Clothing and Accessories,Milsom Street,
53,88,Apple Box,Gifts and Homeware,Abbey Green and Abbey Street,
57,17,Barty’s Trading Co.,Gifts and Homeware,Abbeygate Street,
19,116,Bath Botanical Gin Distillery,Food and Drink,Bath Street,Her
49,44,Bath Spa Skincare,Health and Beauty,Abbey Green and Abbey Street,
23,127,Bohobo Aromatherapies,Health and Beauty,Bath Street,
15,110,Caitilin’s,Home and Garden,Bath Street,
22,126,Ceramica Cecilia Antonino,Gifts and Homeware,Bath Street,Mother-in-Law
9,138,Chameleon,Clothing and Accessories,Union Street,
1,150,Chi-Africa,Gifts and Homeware,Milsom Street,
55,15,Coasting,Home and Garden,Abbeygate Street,
28,59,Cornwall SoapBox,Health and Beauty,York Street West,
25,47,Eat Liquorice,Food and Drink,York Street West,
43,32,Eggnogg,Gifts and Homeware,Abbey Green and Abbey Street,Kids
14,109,Electric Bear Brewing Company,Food and Drink,Bath Street,
54,13,Feniton Foods,Food and Drink,Abbeygate Street,
31,173,Firewater Gallery,Gifts and Homeware,York Street,
4,161,Flapjackery,Food and Drink,Milsom Street,
32,176,Forager Spirit,Food and Drink,York Street,
29,89,Four Legged Fancies,Gifts and Homeware,York Street,Pets
40,78,Friary Drinks,Food and Drink,Abbey Churchyard,
2,155,Funky Feet Fashions,Clothing and Accessories,Milsom Street,
60,24,Garden Treasures,Gifts and Homeware,Abbeygate Street,
21,123,Harry’s Cider,Food and Drink,Bath Street,Father-in-Law
56,16,Heart Of The Woods,Clothing and Accessories,Abbeygate Street,
36,67,Hive Originals,Health and Beauty,Abbey Churchyard,
59,19,Hokey Pokey,Food and Drink,Abbeygate Street,
41,83,Honey Willow,Clothing and Accessories,Abbey Churchyard,Her
37,68,Honey’s Cider,Food and Drink,Abbey Churchyard,
50,45,Hullabaloo,Gifts and Homeware,Abbey Green and Abbey Street,
5,164,Illustrate,Gifts and Homeware,Milsom Street,
48,39,In a Pickle,Food and Drink,Abbey Green and Abbey Street,Grandad
18,114,Keylime Design,Gifts and Homeware,Bath Street,Pets
34,182,La De Da Living,Gifts and Homeware,York Street,
7,167,Lavender Cottage,Home and Garden,Milsom Street,
10,139,Leleka,Home and Garden,Union Street,
17,112,Limelight Bath,Gifts and Homeware,Bath Street,Mother-in-Law
46,36,Little Jack Horners,Food and Drink,Abbey Green and Abbey Street,
39,74,Meticulous Ink,Gifts and Homeware,Abbey Churchyard,
11,142,Millstone,Gifts and Homeware,Union Street,Grandad
52,87,Pearl River Trading,Clothing and Accessories,Abbey Green and Abbey Street,
3,156,Prints of Bath,Home and Garden,Milsom Street,
47,37,Shobla Trading,Clothing and Accessories,Abbey Green and Abbey Street,
38,71,Silkwood Traders,Gifts and Homeware,Abbey Churchyard,
44,34,Slimbridge Soaps,Health and Beauty,Abbey Green and Abbey Street,
12,143,Somerset Charcuterie,Food and Drink,Union Street,Father-in-Law
30,94,Somerset Lavender,Health and Beauty,York Street,
58,18,Spotted Cow Creations,Gifts and Homeware,Abbeygate Street,
8,169,Supreme Sausages,Food and Drink,Milsom Street,
24,134,Taste of Bath,Food and Drink,Bath Street,
45,35,The Chilli Alchemist,Food and Drink,Abbey Green and Abbey Street,Him
20,119,The Dartmoor Shepherd,Home and Garden,Bath Street,
26,50,The Gilded Garden,Gifts and Homeware,York Street West,Grandma
13,108,The Great British Bee Co.,Health and Beauty,Bath Street,
35,60,Timber Treasures,Gifts and Homeware,Abbey Churchyard,
27,57,Up To Seven,Clothing and Accessories,York Street West,
33,181,Wild Wool,Clothing and Accessories,York Street,Grandma
16,111,Wolfe Academy,Clothing and Accessories,Bath Street,Him
42,184,Wood Like to Play,Gifts and Homeware,Abbey Churchyard,Kids
51,86,Wooden Tie Company,Clothing and Accessories,Abbey Green and Abbey Street,
